Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 243: (None, None, 235, 118, 2, 3, 4, 5, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 244: (None, None, 236, 118, 1, 1, 3, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 245: (None, None, 237, 119, 2, 1, 3, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 246: (None, None, 238, 119, 5, 5, 4, 4, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 247: (None, None, 239, 120, 2, 6, 3, 2, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 248: (None, None, 240, 120, 2, 1, 5, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 249: (None, None, 241, 121, 2, 1, 3, 3, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 250: (None, None, 242, 121, 4, 6, 2, 2, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 251: (None, None, 243, 122, 1, 3, 6, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 252: (None, None, 244, 122, 6, 3, 2, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 253: (None, None, 245, 123, 1, 6, 1, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 254: (None, None, 246, 123, 1, 6, 5, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 255: (None, None, 247, 124, 3, 3, 5, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 256: (None, None, 248, 124, 6, 4, 6, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 257: (None, None, 249, 125, 1, 1, 6, 6, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 258: (None, None, 250, 125, 5, 1, 3, 5, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 259: (None, None, 251, 126, 1, 6, 1, 3, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 260: (None, None, 252, 126, 1, 6, 3, 1, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 261: (None, None, 253, 127, 4, 3, 3, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 262: (None, None, 254, 127, 2, 6, 2, 1, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 263: (None, None, 255, 128, 4, 3, 3, 3, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 264: (None, None, 256, 128, 2, 6, 4, 3, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 265: (None, None, 257, 129, 2, 2, 1, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 266: (None, None, 258, 129, 2, 5, 5, 1, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 267: (None, None, 259, 130, 4, 1, 6, 6, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 268: (None, None, 260, 130, 5, 4, 1, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 269: (None, None, 261, 131, 2, 4, 6, 3, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 270: (None, None, 262, 131, 1, 1, 5, 3, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 271: (None, None, 263, 132, 2, 3, 2, 4, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 272: (None, None, 264, 132, 6, 1, 6, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 273: (None, None, 265, 133, 2, 5, 6, 6, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 274: (None, None, 266, 133, 3, 5, 4, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 275: (None, None, 267, 134, 5, 1, 1, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 276: (None, None, 268, 134, 2, 1, 4, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 277: (None, None, 269, 135, 6, 4, 6, 5, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 278: (None, None, 270, 135, 3, 4, 4, 2, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 279: (None, None, 271, 136, 2, 3, 1, 1, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 280: (None, None, 272, 136, 1, 1, 2, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 281: (None, None, 273, 137, 2, 5, 2, 4, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 282: (None, None, 274, 137, 2, 6, 1, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 283: (None, None, 275, 138, 6, 2, 3, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 284: (None, None, 276, 138, 1, 4, 4, 2, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 285: (None, None, 277, 139, 4, 5, 6, 3, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 286: (None, None, 278, 139, 6, 6, 5, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 287: (None, None, 279, 140, 6, 1, 3, 6, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 288: (None, None, 280, 140, 1, 1, 2, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 289: (None, None, 281, 141, 3, 1, 4, 1, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 290: (None, None, 282, 141, 3, 6, 6, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 291: (None, None, 283, 142, 6, 4, 1, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 292: (None, None, 284, 142, 4, 4, 6, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 293: (None, None, 285, 143, 2, 6, 4, 4, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 294: (None, None, 286, 143, 3, 6, 6, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 295: (None, None, 287, 144, 2, 6, 1, 3, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 296: (None, None, 288, 144, 5, 3, 5, 3, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 297: (None, None, 289, 145, 5, 6, 2, 5, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 298: (None, None, 290, 145, 6, 4, 4, 1, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 299: (None, None, 291, 146, 1, 3, 1, 5, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 300: (None, None, 292, 146, 2, 2, 1, 3, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 301: (None, None, 293, 147, 4, 3, 1, 2, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 302: (None, None, 294, 147, 6, 1, 1, 2, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 303: (None, None, 295, 148, 3, 2, 6, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 304: (None, None, 296, 148, 6, 2, 1, 5, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 305: (None, None, 297, 149, 2, 4, 3, 4, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 306: (None, None, 298, 149, 1, 3, 3, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 307: (None, None, 299, 150, 2, 5, 6, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 308: (None, None, 300, 150, 4, 1, 4, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 309: (None, None, 301, 151, 5, 2, 1, 5, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 310: (None, None, 302, 151, 5, 3, 2, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 311: (None, None, 303, 152, 4, 4, 3, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 312: (None, None, 304, 152, 3, 1, 1, 4, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 313: (None, None, 305, 153, 3, 1, 6, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 314: (None, None, 306, 153, 6, 6, 5, 2, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 315: (None, None, 307, 154, 5, 1, 5, 4, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 316: (None, None, 308, 154, 2, 6, 2, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 317: (None, None, 309, 155, 4, 3, 2, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 318: (None, None, 310, 155, 3, 2, 1, 3, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 319: (None, None, 311, 156, 6, 2, 5, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 320: (None, None, 312, 156, 2, 3, 3, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 321: (None, None, 313, 157, 4, 1, 2, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 322: (None, None, 314, 157, 4, 2, 2, 4, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 323: (None, None, 315, 158, 1, 2, 3, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 324: (None, None, 316, 158, 5, 3, 5, 6, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 325: (None, None, 317, 159, 1, 6, 5, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 326: (None, None, 318, 159, 1, 5, 2, 5, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 327: (None, None, 319, 160, 5, 4, 1, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 328: (None, None, 320, 160, 2, 4, 2, 1, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 329: (None, None, 321, 161, 6, 6, 6, 2, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 330: (None, None, 322, 161, 1, 3, 1, 6, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 331: (None, None, 323, 162, 2, 5, 3, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 332: (None, None, 324, 162, 1, 5, 6, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 333: (None, None, 325, 163, 4, 2, 6, 1, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 334: (None, None, 326, 163, 6, 1, 1, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 335: (None, None, 327, 164, 4, 5, 5, 1, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 336: (None, None, 328, 164, 6, 2, 2, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 337: (None, None, 329, 165, 1, 5, 3, 3, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 338: (None, None, 330, 165, 4, 2, 4, 5, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 339: (None, None, 331, 166, 6, 2, 5, 2, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 340: (None, None, 332, 166, 3, 3, 2, 5, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 341: (None, None, 333, 167, 2, 4, 3, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 342: (None, None, 334, 167, 1, 5, 2, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 343: (None, None, 335, 168, 6, 5, 1, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 344: (None, None, 336, 168, 5, 1, 4, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 345: (None, None, 337, 169, 1, 6, 5, 2, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 346: (None, None, 338, 169, 4, 4, 1, 4, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 347: (None, None, 339, 170, 4, 1, 2, 3, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 348: (None, None, 340, 170, 6, 3, 4, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 349: (None, None, 341, 171, 4, 1, 1, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 350: (None, None, 342, 171, 5, 3, 5, 5, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 351: (None, None, 343, 172, 6, 3, 5, 5, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 352: (None, None, 344, 172, 6, 6, 2, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 353: (None, None, 345, 173, 3, 1, 5, 2, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 354: (None, None, 346, 173, 2, 4, 5, 4, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 355: (None, None, 347, 174, 6, 6, 6, 2, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 356: (None, None, 348, 174, 3, 3, 1, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 357: (None, None, 349, 175, 1, 6, 6, 5, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 358: (None, None, 350, 175, 1, 1, 1, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 359: (None, None, 351, 176, 1, 1, 5, 4, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 360: (None, None, 352, 176, 6, 2, 1, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 361: (None, None, 353, 177, 1, 1, 1, 3, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 362: (None, None, 354, 177, 4, 3, 3, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 363: (None, None, 355, 178, 6, 3, 2, 2, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 364: (None, None, 356, 178, 1, 5, 3, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 365: (None, None, 357, 179, 4, 1, 3, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 366: (None, None, 358, 179, 1, 3, 5, 1, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 367: (None, None, 359, 180, 1, 4, 1, 6, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 368: (None, None, 360, 180, 1, 3, 6, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 369: (None, None, 361, 181, 6, 5, 1, 2, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 370: (None, None, 362, 181, 5, 6, 5, 4, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 371: (None, None, 363, 182, 1, 3, 2, 3, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 372: (None, None, 364, 182, 4, 4, 1, 1, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 373: (None, None, 365, 183, 1, 3, 2, 4, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 374: (None, None, 366, 183, 1, 5, 3, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 375: (None, None, 367, 184, 4, 5, 4, 3, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 376: (None, None, 368, 184, 2, 1, 1, 1, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 377: (None, None, 369, 185, 5, 2, 5, 6, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 378: (None, None, 370, 185, 5, 6, 1, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 379: (None, None, 371, 186, 1, 2, 3, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 380: (None, None, 372, 186, 2, 2, 5, 4, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 381: (None, None, 373, 187, 1, 3, 5, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 382: (None, None, 374, 187, 2, 2, 4, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 383: (None, None, 375, 188, 6, 4, 1, 6, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 384: (None, None, 376, 188, 3, 5, 4, 5, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 385: (None, None, 377, 189, 6, 1, 1, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 386: (None, None, 378, 189, 1, 3, 3, 4, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 387: (None, None, 379, 190, 3, 4, 1, 4, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 388: (None, None, 380, 190, 3, 5, 4, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 389: (None, None, 381, 191, 4, 1, 2, 5, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
